formula_pretty,material_id,total,e_ij_max,track_id,index,crystal_system,point_group
HgHOF,mp-23844,"[[0.0, 0.0, 0.0, -0.009, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.055, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.054]]",0.055009999999999996,1,0,Orthorhombic,222
Na3VO4,mp-755436,"[[0.0, 0.0, 0.0, 0.0, 0.383, 0.0], [0.0, 0.0, 0.0, 0.415, 0.0, 0.0], [0.5, 0.493, -0.961, 0.0, 0.0, 0.0]]",1.1902299712350664,2,0,Orthorhombic,mm2
CrSnSbO6,mp-1226180,"[[0.0, 0.0, 0.0, 0.0, -0.047, 0.0], [0.0, 0.0, 0.0, -0.047, 0.0, 0.0], [-0.047, -0.047, 0.051, 0.0, 0.0, 0.0]]",0.08414266099904374,3,0,Tetragonal,4mm
Li8CoO6,mp-27920,"[[0.0, 0.0, 0.0, 0.0, 0.013, 0.0], [0.0, 0.0, 0.0, 0.013, 0.0, 0.0], [0.086, 0.086, 0.178, 0.0, 0.0, 0.0]]",0.2156056363796744,4,0,Hexagonal,6mm
Ag3Te2Au,mp-5710,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",1.07694655982182e-17,5,0,Cubic,432
TaTl3S4,mp-7562,"[[0.0, 0.0, 0.0, -0.357, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.357, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.357]]",0.3565280127476408,6,0,Cubic,-43m
Li2VPO4F,mp-25403,"[[-0.128, -0.358, -0.109, 0.057, -0.031, -0.015], [0.02, -0.224, -0.034, -0.12, -0.034, 0.258], [-0.29, -0.263, -0.081, 0.027, -0.072, 0.113]]",0.6039997961748961,7,0,Triclinic,1
CsLiZnS2,mp-1225887,"[[0.0, 0.0, 0.0, 0.0, -0.16, 0.0], [0.0, 0.0, 0.0, 0.16, 0.0, 0.0], [0.063, -0.063, 0.0, 0.0, 0.0, 0.0]]",0.15993000000000182,8,0,Tetragonal,-42m
Li(CoO2)2,mp-756773,"[[0.0, 0.0, 0.0, 0.0, 0.065, 0.201], [0.201, -0.201, 0.0, 0.065, 0.0, 0.0], [-0.24, -0.24, -0.106, 0.0, 0.0, 0.0]]",0.35601841778200827,9,0,Trigonal,3m
KAl(SO4)2,mp-669367,"[[-0.111, 0.111, 0.0, -0.023, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.023, 0.111], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.15927747319381508,10,0,Trigonal,32
CsGeCl3,mp-22988,"[[0.0, 0.0, 0.0, 0.0, -0.262, -0.103], [-0.103, 0.103, 0.0, -0.262, 0.0, 0.0], [-0.281, -0.281, -0.495, 0.0, 0.0, 0.0]]",0.6347444111609022,11,0,Trigonal,3m
LiMnSbO4,mp-755701,"[[0.0, 0.0, 0.0, -0.056, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.056, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.05637999999999999,12,0,Tetragonal,422
RbSnIO6,mp-554199,"[[0.0, 0.0, 0.0, 0.011, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.011, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.010639999999999998,13,0,Hexagonal,622
LiMnP(H6O5)2,mp-850407,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.908], [0.182, 0.147, 0.134, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.077, 0.0, 0.0]]",0.9078499999999999,14,0,Orthorhombic,mm2
Nd2TeO6,mp-31318,"[[0.0, 0.0, 0.0, 0.342, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.128, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.12]]",0.34190999999999994,15,0,Orthorhombic,222
BaBPO5,mp-15840,"[[-0.086, 0.086, 0.0, -0.143, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.143, 0.086], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.18722173787430293,16,0,Trigonal,32
Na3PO4,mp-4223,"[[0.0, 0.0, 0.0, -0.46, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.138, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.138]]",0.45974,17,0,Tetragonal,-42m
Pb2O3,mp-754071,"[[-1.387, -0.616, -0.541, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.512], [0.0, 0.0, 0.0, 0.0, -0.871, 0.0]]",1.6112473331242478,18,0,Orthorhombic,mm2
BaZr(SiO3)3,mp-1214228,"[[0.0, 0.0, 0.0, 0.0, 0.0, 0.121], [0.121, -0.121, 0.0, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.17083700141228225,19,0,Hexagonal,-6m2
TbAgTe2,mp-3551,"[[0.0, 0.0, 0.0, -0.738, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.128, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.128]]",0.7378999999999999,20,0,Tetragonal,-42m
Na4CO4,mp-552623,"[[0.11, -0.11, 0.0, 0.031, -0.579, 1.056], [1.056, -1.056, 0.0, -0.579, -0.031, -0.11], [-0.457, -0.457, 1.634, 0.0, 0.0, 0.0]]",1.7572629256156553,21,0,Trigonal,3
Mg2Ti3O8,mp-1042395,"[[0.0, 0.0, 0.0, 0.0, -1.601, 0.0], [0.0, 0.0, 0.0, -1.601, 0.0, 0.0], [0.189, 0.189, -0.082, 0.0, 0.0, 0.0]]",1.600530336690148,22,0,Hexagonal,6mm
Na3Ti2P2O10F,mp-41191,"[[0.0, 0.0, 0.0, -0.164, 0.0, 0.29], [0.325, 0.58, 0.28, 0.0, -0.128, 0.0], [0.0, 0.0, 0.0, 0.234, 0.0, -0.164]]",0.7324458482014107,23,0,Orthorhombic,mm2
Eu(YS2)2,mp-38971,"[[0.0, 0.0, 0.0, 0.408, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.554, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.554]]",0.5537763545716611,24,0,Tetragonal,-42m
Te2SO7,mp-557480,"[[0.0, 0.0, 0.0, 0.0, 0.301, 0.0], [0.0, 0.0, 0.0, -0.553, 0.0, 0.0], [0.138, 0.18, -0.717, 0.0, 0.0, 0.0]]",0.7521166112379116,25,0,Orthorhombic,mm2
RbGeIO6,mp-549697,"[[0.0, 0.0, 0.0, -0.018, 0.0, -0.005], [-0.005, 0.005, 0.0, 0.0, 0.018, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.01885293154794662,26,0,Trigonal,32
Li4MnF8,mp-756952,"[[0.0, 0.0, 0.0, 0.197, 0.0, 0.321], [-0.181, -0.033, -0.101, 0.0, 0.102, 0.0], [0.0, 0.0, 0.0, -0.239, 0.0, -0.05]]",0.4198202460271517,27,0,Monoclinic,2
ZrPbO3,mp-20337,"[[0.0, 0.0, 0.0, 0.0, 0.0, 1.167], [-1.572, -2.196, 0.18, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",2.7071411231407945,28,0,Orthorhombic,mm2
Ag2GeS3,mp-9900,"[[0.0, 0.0, 0.0, 0.0, 0.184, 0.0], [0.0, 0.0, 0.0, -0.225, 0.0, 0.0], [-0.16, -0.141, 0.035, 0.0, 0.0, 0.0]]",0.22501999999999997,29,0,Orthorhombic,mm2
TeS4(NCl)4,mp-554646,"[[-0.053, 0.037, -0.005, 0.0, 0.014, 0.0], [0.0, 0.0, 0.0, 0.071, 0.0, 0.002], [-0.014, -0.017, 0.032, 0.0, -0.048, 0.0]]",0.07141765348157234,30,0,Monoclinic,m
ZrO2,mp-556605,"[[1.203, 1.848, 1.589, 0.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.245], [0.0, 0.0, 0.0, 0.0, -0.876, 0.0]]",2.717734101066548,31,0,Orthorhombic,mm2
Te(HO)6,mp-625993,"[[0.046, -0.058, -0.049, -0.072, -0.052, 0.004], [-0.066, -0.063, -0.062, -0.097, 0.01, -0.005], [0.061, -0.02, 0.146, 0.112, -0.065, 0.078]]",0.25468537602062336,32,0,Triclinic,1
Yb(NdS2)2,mp-20797,"[[0.0, 0.0, 0.0, -0.62, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.235, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.282]]",0.6203300000000055,33,0,Orthorhombic,222
H8Se2N2O5,mp-722865,"[[0.0, 0.0, 0.0, 0.049, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.085, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.081]]",0.08539999999999999,34,0,Orthorhombic,222
Mg3(AsO4)2,mp-758196,"[[0.0, 0.0, 0.0, 0.123, 0.153, 0.0], [0.0, 0.0, 0.0, -0.153, 0.123, 0.0], [0.198, -0.198, 0.0, 0.0, 0.0, 0.032]]",0.281347910157513,35,0,Tetragonal,-4
UCO5,mp-29761,"[[0.0, 0.0, 0.0, 0.0, -0.09, 0.0], [0.0, 0.0, 0.0, 0.022, 0.0, 0.0], [0.381, 0.013, -0.35, 0.0, 0.0, 0.0]]",0.5179982591669589,36,0,Orthorhombic,mm2
LaH3(CO2)3,mp-642729,"[[0.0, 0.0, 0.0, 0.0, 0.184, 0.118], [0.118, -0.118, 0.0, 0.184, 0.0, 0.0], [-0.051, -0.051, 0.266, 0.0, 0.0, 0.0]]",0.2753338106735168,37,0,Trigonal,3m
Al2CdSe4,mp-3159,"[[0.0, 0.0, 0.0, -0.138, -0.057, 0.0], [0.0, 0.0, 0.0, 0.057, -0.138, 0.0], [-0.025, 0.025, 0.0, 0.0, 0.0, -0.138]]",0.14985775044718602,38,0,Tetragonal,-4
Na4Al3Si3ClO12,mp-23145,"[[0.0, 0.0, 0.0, 0.201, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.201, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.201]]",0.20067000000000002,39,0,Cubic,-43m
Tb2PbS4,mp-675645,"[[0.0, 0.0, 0.0, -0.656, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.562, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.562]]",0.656,40,0,Tetragonal,-42m
H10C3NClO4,mp-554570,"[[0.0, 0.0, 0.0, -0.008, 0.0, 0.003], [0.005, 0.031, -0.006, 0.0, -0.005, 0.0], [0.0, 0.0, 0.0, 0.009, 0.0, 0.004]]",0.03261848264330633,41,0,Monoclinic,2
Cd4GeSe6,mp-18163,"[[0.188, -0.153, -0.103, 0.0, -0.02, 0.0], [0.0, 0.0, 0.0, -0.144, 0.0, -0.154], [-0.051, -0.073, 0.206, 0.0, -0.1, 0.0]]",0.2893906017639916,42,0,Monoclinic,m
SrGeTeO6,mp-10341,"[[0.0, 0.0, 0.0, -0.063, 0.0, -0.062], [-0.062, 0.062, 0.0, 0.0, 0.063, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.10794718451865112,43,0,Trigonal,32
Rb2CoCl4,mp-571242,"[[0.0, 0.0, 0.0, 0.0, -0.009, 0.0], [0.0, 0.0, 0.0, -0.013, 0.0, 0.0], [0.454, 0.161, -0.504, 0.0, 0.0, 0.0]]",0.6970677190919113,44,0,Orthorhombic,mm2
LiAlSiO4,mp-18220,"[[0.007, -0.007, 0.0, 0.002, -0.047, -0.025], [-0.025, 0.025, 0.0, -0.047, -0.002, -0.007], [-0.068, -0.068, 0.139, 0.0, 0.0, 0.0]]",0.16873362560431587,45,0,Trigonal,3
