NComp,Comp_L2Norm,Comp_L3Norm,Comp_L5Norm,Comp_L7Norm,Comp_L10Norm,mean_Number,maxdiff_Number,dev_Number,max_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,min_MendeleevNumber,most_MendeleevNumber,mean_AtomicWeight,maxdiff_AtomicWeight,dev_AtomicWeight,max_AtomicWeight,min_AtomicWeight,most_AtomicWeight,mean_MeltingT,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,min_MeltingT,most_MeltingT,mean_Column,maxdiff_Column,dev_Column,max_Column,min_Column,most_Column,mean_Row,maxdiff_Row,dev_Row,max_Row,min_Row,most_Row,mean_CovalentRadius,maxdiff_CovalentRadius,dev_CovalentRadius,max_CovalentRadius,min_CovalentRadius,most_CovalentRadius,mean_Electronegativity,maxdiff_Electronegativity,dev_Electronegativity,max_Electronegativity,min_Electronegativity,most_Electronegativity,mean_NsValence,maxdiff_NsValence,dev_NsValence,max_NsValence,min_NsValence,most_NsValence,mean_NpValence,maxdiff_NpValence,dev_NpValence,max_NpValence,min_NpValence,most_NpValence,mean_NdValence,maxdiff_NdValence,dev_NdValence,max_NdValence,min_NdValence,most_NdValence,mean_NfValence,maxdiff_NfValence,dev_NfValence,max_NfValence,min_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,dev_NValance,max_NValance,min_NValance,most_NValance,mean_NsUnfilled,maxdiff_NsUnfilled,dev_NsUnfilled,max_NsUnfilled,min_NsUnfilled,most_NsUnfilled,mean_NpUnfilled,maxdiff_NpUnfilled,dev_NpUnfilled,max_NpUnfilled,min_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,max_NdUnfilled,min_NdUnfilled,most_NdUnfilled,mean_NfUnfilled,maxdiff_NfUnfilled,dev_NfUnfilled,max_NfUnfilled,min_NfUnfilled,most_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,max_NUnfilled,min_NUnfilled,most_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,max_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,mean_GSbandgap,maxdiff_GSbandgap,dev_GSbandgap,max_GSbandgap,min_GSbandgap,most_GSbandgap,mean_GSmagmom,maxdiff_GSmagmom,dev_GSmagmom,max_GSmagmom,min_GSmagmom,most_GSmagmom,mean_SpaceGroupNumber,maxdiff_SpaceGroupNumber,dev_SpaceGroupNumber,max_SpaceGroupNumber,min_SpaceGroupNumber,most_SpaceGroupNumber,frac_sValence,frac_pValence,frac_dValence,frac_fValence,CanFormIonic,MaxIonicChar,MeanIonicChar,track_id
4.0,0.5439837932759934,0.4661799199531251,0.4341349704306353,0.4295493363207604,0.4286557849608126,30.5,35.0,13.285714285714285,50.0,15.0,15.0,77.85714285714285,18.0,5.510204081632658,83.0,65.0,83.0,68.91336942857143,87.73623799999999,32.519663510204076,118.71,30.973762,30.973762,732.3535714285714,917.6300000000001,420.69551020408164,1234.93,317.3,317.3,13.785714285714285,4.0,1.1938775510204085,15.0,11.0,15.0,3.9285714285714284,2.0,0.7959183673469388,5.0,3.0,3.0,122.5,38.0,14.357142857142858,145.0,107.0,107.0,2.0628571428571427,0.26,0.10897959183673471,2.19,1.93,2.19,1.7857142857142856,1.0,0.33673469387755106,2.0,1.0,2.0,1.9999999999999998,3.0,0.8571428571428572,3.0,0.0,3.0,5.7142857142857135,10.0,4.8979591836734695,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,9.0,3.8571428571428568,14.0,5.0,5.0,0.21428571428571427,1.0,0.336734693877551,1.0,0.0,0.0,2.714285714285714,4.0,1.163265306122449,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9285714285714284,3.0,0.826530612244898,4.0,1.0,3.0,22.856887755085715,16.955,3.0429373177959174,33.285,16.33,22.5702380952,0.7785,1.625,0.7255714285714285,1.625,0.0,1.625,0.0,0.0,0.0,0.0,0.0,0.0,117.42857142857142,223.0,98.93877551020408,225.0,2.0,2.0,0.18796992481203006,0.21052631578947367,0.6015037593984962,0.0,0.0,0.016757996080744575,0.006367320411397348,2072.0
4.0,0.5677270907634907,0.4945565295831634,0.4623050539795367,0.4564464242919134,0.4548243006723547,5.090909090909091,7.0,2.644628099173554,8.0,1.0,8.0,83.36363636363636,25.0,8.016528925619836,92.0,67.0,87.0,10.168744,14.99146,5.417370181818182,15.9994,1.00794,15.9994,525.8209090909091,2333.99,707.3704132231405,2348.0,14.01,54.8,9.09090909090909,15.0,6.991735537190083,16.0,1.0,16.0,1.727272727272727,1.0,0.3966942148760331,2.0,1.0,2.0,63.54545454545455,65.0,17.75206611570248,96.0,31.0,66.0,2.6345454545454543,1.8699999999999999,0.7322314049586776,3.44,1.57,3.44,1.727272727272727,1.0,0.3966942148760331,2.0,1.0,2.0,1.909090909090909,4.0,1.9008264462809916,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6363636363636362,5.0,2.1487603305785123,6.0,1.0,6.0,0.2727272727272727,1.0,0.396694214876033,1.0,0.0,0.0,1.3636363636363638,5.0,1.2396694214876032,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6363636363636362,5.0,0.9421487603305785,5.0,0.0,2.0,8.029318181818182,2.49,0.9778925619834712,9.105,6.615,9.105,2.2802727272727275,7.853,3.039669421487603,7.853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.72727272727273,182.0,87.93388429752065,194.0,12.0,12.0,0.47500000000000003,0.525,0.0,0.0,1.0,0.5828147870350187,0.21893373711362585,949.0
3.0,0.6236095644623235,0.5503212081491045,0.5128974808990104,0.5041104334909742,0.5008612172408381,14.666666666666666,29.0,11.555555555555557,32.0,3.0,7.0,67.5,81.0,22.166666666666664,82.0,1.0,82.0,32.37351666666666,65.699,26.844322222222218,72.64,6.941,14.0067,510.94,1148.3500000000001,466.97333333333336,1211.4,63.05,63.05,12.333333333333332,14.0,3.7777777777777786,15.0,1.0,15.0,2.6666666666666665,2.0,0.8888888888888888,4.0,2.0,2.0,96.83333333333333,57.0,25.833333333333332,128.0,71.0,71.0,2.3533333333333335,2.06,0.6866666666666668,3.04,0.98,3.04,1.8333333333333333,1.0,0.2777777777777778,2.0,1.0,2.0,2.1666666666666665,3.0,0.8333333333333333,3.0,0.0,3.0,3.333333333333333,10.0,4.444444444444445,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.333333333333333,13.0,4.444444444444445,14.0,1.0,5.0,0.16666666666666666,1.0,0.2777777777777778,1.0,0.0,0.0,2.833333333333333,4.0,0.9444444444444446,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.6666666666666666,4.0,1.0,3.0,17.818263888883333,8.236249999999998,3.4578240740777773,23.005,14.76875,14.76875,3.346166666666667,6.437,3.0908333333333333,6.437,0.0,6.437,0.0,0.0,0.0,0.0,0.0,0.0,210.16666666666666,35.0,16.166666666666664,229.0,194.0,194.0,0.25,0.29545454545454547,0.45454545454545453,0.0,1.0,0.6538558596267213,0.21251671080198453,1565.0
4.0,0.693888666488711,0.6697389066833045,0.6667180990593994,0.6666676873034317,0.6666666699743009,21.999999999999996,71.0,22.888888888888886,74.0,3.0,8.0,69.11111111111111,86.0,23.85185185185185,87.0,1.0,87.0,51.969475555555555,176.899,57.9664286419753,183.84,6.941,15.9994,863.0544444444444,3640.2,1168.6424691358025,3695.0,54.8,54.8,12.0,15.0,5.333333333333333,16.0,1.0,16.0,2.8888888888888884,4.0,1.3827160493827155,6.0,2.0,2.0,95.11111111111111,104.0,38.81481481481481,170.0,66.0,66.0,2.8311111111111105,2.46,0.811851851851852,3.44,0.98,3.44,1.8888888888888888,1.0,0.19753086419753088,2.0,1.0,2.0,2.6666666666666665,4.0,1.7777777777777777,4.0,0.0,4.0,0.7777777777777777,4.0,1.2098765432098764,4.0,0.0,0.0,3.1111111111111107,14.0,4.8395061728395055,14.0,0.0,0.0,8.444444444444445,19.0,4.913580246913581,20.0,1.0,6.0,0.1111111111111111,1.0,0.19753086419753085,1.0,0.0,0.0,1.3333333333333333,2.0,0.8888888888888888,2.0,0.0,2.0,1.4444444444444442,7.0,2.2469135802469133,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8888888888888884,6.0,1.6049382716049378,7.0,1.0,2.0,11.710370370366666,9.015,3.4738271604888884,18.12,9.105,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.33333333333333,217.0,96.44444444444444,229.0,12.0,12.0,0.22368421052631582,0.31578947368421056,0.09210526315789475,0.368421052631579,1.0,0.7797297329475583,0.25845167896597476,2393.0
3.0,0.7576767609436587,0.7292756198996234,0.7226205392807307,0.722249160336459,0.7222227715558243,16.88888888888889,46.0,11.395061728395062,55.0,9.0,9.0,86.11111111111111,88.0,9.950617283950614,93.0,5.0,93.0,37.753949638888884,113.9070487,27.09134485617284,132.9054519,18.9984032,18.9984032,297.6161111111111,1036.5,352.6121604938271,1090.0,53.5,53.5,15.666666666666664,16.0,1.925925925925927,17.0,1.0,17.0,2.6666666666666665,4.0,0.9629629629629628,6.0,2.0,2.0,81.16666666666666,187.0,34.9074074074074,244.0,57.0,57.0,3.4027777777777777,3.19,0.8337654320987653,3.98,0.79,3.98,1.9444444444444444,1.0,0.1049382716049383,2.0,1.0,2.0,4.277777777777778,5.0,1.04320987654321,5.0,0.0,5.0,2.2222222222222223,10.0,3.45679012345679,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.444444444444443,14.0,2.913580246913579,15.0,1.0,7.0,0.05555555555555555,1.0,0.10493827160493827,1.0,0.0,0.0,1.3888888888888888,3.0,0.7160493827160493,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4444444444444444,2.0,0.691358024691358,3.0,1.0,1.0,18.37013888888889,106.0575,12.51270061728395,115.765,9.7075,9.7075,1.4227777777777777,1.97,0.7904320987654321,1.97,0.0,1.97,0.0,0.0,0.0,0.0,0.0,0.0,60.44444444444444,214.0,65.64197530864197,229.0,15.0,15.0,0.23026315789473684,0.506578947368421,0.2631578947368421,0.0,1.0,0.9214503994822504,0.2615961614098352,3160.0
2.0,0.7905694150420949,0.7591472429689157,0.7506162703470459,0.7500489811920582,0.7500012701219063,19.5,42.0,15.75,51.0,9.0,9.0,91.0,8.0,3.0,93.0,85.0,93.0,44.6888024,102.7615968,38.5355988,121.76,18.9984032,18.9984032,266.07,850.28,318.855,903.78,53.5,53.5,16.5,2.0,0.75,17.0,15.0,17.0,2.75,3.0,1.125,5.0,2.0,2.0,77.5,82.0,30.75,139.0,57.0,57.0,3.4974999999999996,1.9300000000000002,0.7237500000000002,3.98,2.05,3.98,2.0,0.0,0.0,2.0,2.0,2.0,4.5,2.0,0.75,5.0,3.0,5.0,2.5,10.0,3.75,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,3.0,15.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,0.75,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2.0,0.75,3.0,1.0,1.0,15.170625,21.8525,8.1946875,31.56,9.7075,9.7075,1.4775,1.97,0.73875,1.97,0.0,1.97,0.0,0.0,0.0,0.0,0.0,0.0,52.75,151.0,56.625,166.0,15.0,15.0,0.2222222222222222,0.5,0.2777777777777778,0.0,1.0,0.6059293220058688,0.2272234957522008,2629.0
3.0,0.6546536707079771,0.5970484566258902,0.5750650283013602,0.5720691506685885,0.5714844049399023,27.142857142857142,34.0,12.73469387755102,50.0,16.0,16.0,64.0,80.0,32.0,88.0,8.0,88.0,60.31571428571429,86.645,32.2865306122449,118.71,32.065,32.065,594.0742857142857,661.64,260.5289795918367,1050.0,388.36,388.36,11.714285714285714,14.0,5.551020408163265,16.0,2.0,16.0,3.8571428571428568,2.0,0.9795918367346937,5.0,3.0,3.0,135.57142857142856,90.0,34.93877551020408,195.0,105.0,105.0,2.025714285714286,1.6300000000000001,0.6334693877551021,2.58,0.95,2.58,2.0,0.0,0.0,2.0,2.0,2.0,2.571428571428571,4.0,1.6326530612244898,4.0,0.0,4.0,1.4285714285714284,10.0,2.448979591836734,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,2.2857142857142856,14.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,4.0,0.9795918367346939,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7142857142857142,4.0,0.9795918367346939,4.0,0.0,2.0,34.98464285714285,28.443125,10.997346938775507,54.23,25.786875,25.786875,1.2582857142857142,2.202,1.0785306122448977,2.202,0.0,2.202,0.0,0.0,0.0,0.0,0.0,0.0,124.42857142857142,155.0,62.20408163265306,225.0,70.0,70.0,0.3333333333333333,0.42857142857142855,0.23809523809523805,0.0,1.0,0.48532775582672116,0.19180959588551486,3100.0
3.0,0.6546536707079771,0.5970484566258902,0.5750650283013602,0.5720691506685885,0.5714844049399023,45.42857142857142,21.0,8.244897959183675,52.0,31.0,52.0,82.57142857142857,20.0,8.489795918367346,90.0,70.0,90.0,108.89385714285714,57.876999999999995,22.383346938775503,127.6,69.723,127.6,584.3828571428571,419.74999999999994,160.8416326530612,722.66,302.91,722.66,14.57142857142857,4.0,1.63265306122449,16.0,12.0,16.0,4.7142857142857135,1.0,0.4081632653061228,5.0,4.0,5.0,134.28571428571428,22.0,7.020408163265309,144.0,122.0,138.0,1.9585714285714286,0.41000000000000014,0.16163265306122454,2.1,1.69,2.1,2.0,0.0,0.0,2.0,2.0,2.0,2.571428571428571,4.0,1.6326530612244898,4.0,0.0,4.0,9.999999999999998,0.0,1.7763568394002505E-15,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,14.57142857142857,4.0,1.63265306122449,16.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.571428571428571,5.0,1.387755102040816,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.571428571428571,5.0,1.387755102040816,5.0,0.0,2.0,28.037619047599996,15.905833333299995,7.686530612228569,34.7633333333,18.8575,34.7633333333,0.2651428571428571,0.464,0.227265306122449,0.464,0.0,0.464,0.0,0.0,0.0,0.0,0.0,0.0,132.85714285714283,130.0,39.34693877551021,194.0,64.0,152.0,0.13725490196078433,0.17647058823529413,0.6862745098039216,0.0,1.0,0.04115419087238548,0.01380603852313329,865.0
4.0,0.6027618097623293,0.5481094028603977,0.5313484651689908,0.5296744916889922,0.5294277145679387,7.647058823529411,13.0,3.1280276816609,14.0,1.0,8.0,85.47058823529412,19.0,4.69204152249135,92.0,73.0,87.0,15.185908070588235,27.07756,6.671984974394463,28.0855,1.00794,15.9994,340.5988235294118,1672.99,456.29937716262975,1687.0,14.01,54.8,11.882352941176471,15.0,5.1211072664359865,16.0,1.0,16.0,2.0,2.0,0.47058823529411764,3.0,1.0,2.0,69.52941176470588,90.0,21.868512110726645,121.0,31.0,66.0,2.751764705882353,1.8299999999999998,0.7287197231833908,3.44,1.61,3.44,1.7647058823529411,1.0,0.35986159169550175,2.0,1.0,2.0,2.4705882352941178,4.0,1.6193771626297577,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235294117647059,5.0,1.8685121107266436,6.0,1.0,6.0,0.23529411764705882,1.0,0.3598615916955017,1.0,0.0,0.0,2.1176470588235294,5.0,1.121107266435986,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3529411764705883,4.0,1.0103806228373702,5.0,1.0,2.0,10.72029411764706,13.825000000000001,3.6422145328719724,20.44,6.615,9.105,1.938705882352941,7.853,2.7831972318339098,7.853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.17647058823529,215.0,98.6574394463668,227.0,12.0,12.0,0.41666666666666663,0.5833333333333334,0.0,0.0,1.0,0.5670898161093587,0.21228839597306726,1167.0
3.0,0.6633249580710799,0.6144633651371695,0.6009844187491661,0.6000783545597032,0.6000020321795635,3.6000000000000005,11.0,3.3600000000000003,12.0,1.0,1.0,69.0,91.0,27.6,92.0,1.0,92.0,6.853964000000001,23.29706,7.015228800000001,24.305,1.00794,1.00794,283.744,908.99,323.6808,923.0,14.01,14.01,1.2000000000000002,1.0,0.3200000000000001,2.0,1.0,1.0,1.6,2.0,0.72,3.0,1.0,1.0,72.4,110.0,49.68,141.0,31.0,31.0,1.778,1.2200000000000002,0.5064000000000002,2.2,0.98,2.2,1.2000000000000002,1.0,0.3200000000000001,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2000000000000002,1.0,0.3200000000000001,2.0,1.0,1.0,0.8,1.0,0.31999999999999995,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.0,0.31999999999999995,1.0,0.0,1.0,11.86566666666,16.275,6.300799999992,22.89,6.615,6.615,4.711799999999999,7.853,3.76944,7.853,0.0,7.853,0.0,0.0,0.0,0.0,0.0,0.0,201.0,35.0,11.200000000000001,229.0,194.0,194.0,1.0,0.0,0.0,0.0,1.0,0.31071468945337377,0.11983630208281366,799.0
