formula_pretty,material_id,total,e_ij_max,track_id,index,crystal_system,point_group,crystal
Na3VO4,mp-755436,"[[0.0, 0.0, 0.0, 0.0, 0.383, 0.0], [0.0, 0.0, 0.0, 0.415, 0.0, 0.0], [0.5, 0.493, -0.961, 0.0, 0.0, 0.0]]",1.19022997123507,1,0,Orthorhombic,mm2,Orthorhombic mm2
CrSnSbO6,mp-1226180,"[[0.0, 0.0, 0.0, 0.0, -0.047, 0.0], [0.0, 0.0, 0.0, -0.047, 0.0, 0.0], [-0.047, -0.047, 0.051, 0.0, 0.0, 0.0]]",0.084142660999044,2,0,Tetragonal,4mm,Tetragonal 4mm
CsGeCl3,mp-22988,"[[0.0, 0.0, 0.0, 0.0, -0.262, -0.103], [-0.103, 0.103, 0.0, -0.262, 0.0, 0.0], [-0.281, -0.281, -0.495, 0.0, 0.0, 0.0]]",0.634744411160902,3,0,Trigonal,3m,Trigonal 3m
RbSnIO6,mp-554199,"[[0.0, 0.0, 0.0, 0.011, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.011, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.0]]",0.01064,4,0,Hexagonal,622,Hexagonal 622
UCO5,mp-29761,"[[0.0, 0.0, 0.0, 0.0, -0.09, 0.0], [0.0, 0.0, 0.0, 0.022, 0.0, 0.0], [0.381, 0.013, -0.35, 0.0, 0.0, 0.0]]",0.517998259166959,5,0,Orthorhombic,mm2,Orthorhombic mm2
LaH3(CO2)3,mp-642729,"[[0.0, 0.0, 0.0, 0.0, 0.184, 0.118], [0.118, -0.118, 0.0, 0.184, 0.0, 0.0], [-0.051, -0.051, 0.266, 0.0, 0.0, 0.0]]",0.275333810673517,6,0,Trigonal,3m,Trigonal 3m
Al2CdSe4,mp-3159,"[[0.0, 0.0, 0.0, -0.138, -0.057, 0.0], [0.0, 0.0, 0.0, 0.057, -0.138, 0.0], [-0.025, 0.025, 0.0, 0.0, 0.0, -0.138]]",0.149857750447186,7,0,Tetragonal,-4,Tetragonal -4
Na4Al3Si3ClO12,mp-23145,"[[0.0, 0.0, 0.0, 0.201, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, 0.201, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, 0.201]]",0.20067,8,0,Cubic,-43m,Cubic -43m
Tb2PbS4,mp-675645,"[[0.0, 0.0, 0.0, -0.656, 0.0, 0.0], [0.0, 0.0, 0.0, 0.0, -0.562, 0.0], [0.0, 0.0, 0.0, 0.0, 0.0, -0.562]]",0.656,9,0,Tetragonal,-42m,Tetragonal -42m
H10C3NClO4,mp-554570,"[[0.0, 0.0, 0.0, -0.008, 0.0, 0.003], [0.005, 0.031, -0.006, 0.0, -0.005, 0.0], [0.0, 0.0, 0.0, 0.009, 0.0, 0.004]]",0.032618482643306,10,0,Monoclinic,2,Monoclinic 2
